stop_id,stop_code,stop_name,stop_lat,stop_lon,stop_url,wheelchair_boarding,location_type,parent_station
PG6,,PG6-Parada / Iglesia Don Bosco,-33.53127211002202,-70.66282581201777,,0,,
PG7,,PG7-Parada / Muni.La Cisterna,-33.53405299965788,-70.66357999957539,,0,,
PG8,,PG8-Parada 9 / (M) La Cisterna,-33.53786300031094,-70.66459300019265,,0,,
PG249,,PG249-Trinidad Ramírez / esq. Mons. C. Casanueva,-33.54295060026992,-70.66837053897622,,0,,
PG250,,PG250-Trinidad Ramírez / esq. Los Aromos,-33.54211804249991,-70.67127939378261,,0,,
PG415,,PG415-Trinidad Ramírez / esq. Argentina,-33.54075765489971,-70.67604948362298,,0,,
PG416,,PG416-Trinidad Ramírez / esq. Los Nogales,-33.539495679882016,-70.68042567132701,,0,,
PG417,,PG417-Trinidad Ramírez / esq. Capricornio,-33.53852699975193,-70.68378099949665,,0,,
PH233,,PH233-Parada / Mercado de Santiago,-33.53799231922997,-70.68825737195246,,0,,
PH234,,PH234-Avenida Lo Espejo / esq. La Divisa,-33.53612499985905,-70.69346400009236,,0,,
PH315,,PH315-Astaburuaga / esq. Centenario,-33.534092962547334,-70.69447469225253,,0,,
PH316,,PH316-Astaburuaga / esq. Balmaceda,-33.532488000028955,-70.6936209996021,,0,,
PH317,,PH317-Astaburuaga / esq. Nueve de Enero,-33.52951700000272,-70.6920379999257,,0,,
PH473,,PH473-9 de Enero / esq. Ferrari,-33.52874799977601,-70.69329600003246,,0,,
PH474,,PH474-9 de Enero / esq. León de La Barra,-33.527663828082936,-70.69624389900936,,0,,
PH475,,PH475-9 de Enero / esq. Gabriela Mistral,-33.526466999695266,-70.69948400048521,,0,,
PH801,,PH801-Gabriela Mistral / esq. Pedro Prado,-33.52747207533817,-70.70034501860103,,0,,
PH795,,PH795-Gabriela Mistral / esq. Balmaceda,-33.52901000034309,-70.70116100002288,,0,,
PH1479,,PH1479-Gabriela Mistral / esq. Ortiz de Zárate,-33.53087724737808,-70.70208685486747,,0,,
PH358,,PH358-Gabriela Mistral / esq. Avenida Lo Espejo,-33.532621999766306,-70.70256800050858,,0,,
PH73,,PH73-Gabriela Mistral / esq. Pascual Ortega,-33.53152842528306,-70.70213648761253,,0,,
PH796,,PH796-Gabriela Mistral / esq. Balmaceda,-33.52939105750002,-70.70123119618152,,0,,
PH74,,PH74-Gabriela Mistral / esq. Pedro Prado,-33.527859248371094,-70.700390976098,,0,,
PH75,,PH75-Gabriela Mistral / esq. 9 de Enero,-33.5266304537172,-70.69976663736394,,0,,
PH311,,PH311-9 de Enero / esq. León de La Barra,-33.5276130004375,-70.69660000048596,,0,,
PH312,,PH312-9 de Enero / esq. Ferrari,-33.528657117922684,-70.69373239001807,,0,,
PH313,,PH313-Ferrari / esq. Balmaceda,-33.53132199969662,-70.69497899965808,,0,,
PH803,,PH803-Ferrari / esq. Centenario,-33.53306500033745,-70.69587700046897,,0,,
PH237,,PH237-Ferrari / esq. Avenida Lo Espejo,-33.534430999574184,-70.69663099954663,,0,,
PG265,,PG265-Avenida Lo Espejo / esq. Avenida La Divisa,-33.53633475496614,-70.69310585879894,,0,,
PG266,,PG266-Parada / Mercado de Santiago,-33.53822199985868,-70.68800800012973,,0,,
PG411,,PG411-Avenida Lo Espejo / esq. Pasaje 9,-33.539756660883214,-70.68381070074555,,0,,
PG412,,PG412-Avenida Lo Espejo / esq. Los Nogales,-33.540698673359714,-70.6812372618504,,0,,
PG413,,PG413-Avenida Lo Espejo / esq. Pérez Román,-33.542288681221095,-70.67687985597202,,0,,
PG251,,PG251-Avenida Lo Espejo / esq. Nabus,-33.54367500038286,-70.67308299964631,,0,,
PG252,,PG252-Parada 3 / Paradero 28 Gran Avenida,-33.5453399246427,-70.66853913256256,,0,,
PG61,,PG61-Parada 8 / (M) La Cisterna,-33.537934000130335,-70.66445399996816,,0,,
PG62,,PG62-Parada / Paradero 23 Gran Avenida,-33.533456921913285,-70.66317420197923,,0,,
PG63,,PG63-Parada / Iglesia Don Bosco,-33.53219200018192,-70.66282600005546,,0,,
PG64,,PG64-Parada 2 / Paradero 22 Gran Avenida,-33.529541118820525,-70.66208214901543,,0,,
PG65,,PG65-Parada 2 / (M) El Parrón,-33.52687400016205,-70.6613820000327,,0,,
PG66,,PG66-Parada 2 / Paradero 2 Gran Avenida,-33.52435300002465,-70.66069099957345,,0,,
PG67,,PG67-Parada 2 / Paradero 19 Gran Avenida,-33.520826643860836,-70.65966117790671,,0,,
PG68,,PG68-Parada / (M) Lo Ovalle,-33.51884403996107,-70.65910683509665,,0,,
PG69,,PG69-Parada 2 / Paradero 17 Gran Avenida,-33.51501153375244,-70.65800076319582,,0,,
PH124,,PH124-Parada / Paradero 15 Gran Avenida,-33.51158161807852,-70.65703370440805,,0,,
PH125,,PH125-Parada / Paradero 14 Gran Avenida,-33.50826899979023,-70.6561249998865,,0,,
PH126,,PH126-Parada / Paradero 13 Gran Avenida,-33.50546652299876,-70.65533993405889,,0,,
PH127,,PH127-Parada 2 / (M) Departamental,-33.50389699980507,-70.65490100046128,,0,,
