pathway_id,from_stop_id,to_stop_id,pathway_mode,is_bidirectional
MEY-2,MEY-ZNP,MEY-ZP,6,0
MEY-3,MEY-ZP,MEY-ZNP,7,0
MEY-4,MEY-ZP,MEY-L3-V1,2,1
MEY-5,MEY-ZP,MEY-L3-V2,2,1
EI-1,EI-A,EI-ZNP,2,1
EI-2,EI-ZNP,EI-ZP,6,0
EI-3,EI-ZP,EI-ZNP,7,0
EI-4,EI-ZP,EI-L2-V1,2,1
EI-5,EI-ZP,EI-L2-V2,2,1
EB-1,EB-A,EB-ZNP,2,1
EB-2,EB-ZNP,EB-ZP,6,0
EB-3,EB-ZP,EB-ZNP,7,0
EB-4,EB-ZP,EB-L2-V1,2,1
EB-5,EB-ZP,EB-L2-V2,2,1
PAL-1,PAL-A,PAL-ZNP,2,1
PAL-2,PAL-ZNP,PAL-ZP,6,0
PAL-3,PAL-ZP,PAL-ZNP,7,0
PAL-4,PAL-ZP,PAL-L3-V1,2,1
PAL-5,PAL-ZP,PAL-L3-V2,2,1
PZC-1,PZC-A,PZC-ZNP,2,1
PZC-2,PZC-ZNP,PZC-ZP,6,0
PZC-3,PZC-ZP,PZC-ZNP,7,0
PZC-4,PZC-ZP,PZC-L3-V1,2,1
PZC-5,PZC-ZP,PZC-L3-V2,2,1
LL-1,LL-A,LL-ZNP,2,1
LL-2,LL-B,LL-ZNP,2,1
LL-3,LL-C,LL-ZNP,2,1
LL-4,LL-ZNP,LL-ZP,6,0
LL-5,LL-ZP,LL-ZNP,7,0
LL-6,LL-ZP,LL-L2-V1,2,1
LL-7,LL-ZP,LL-L2-V2,2,1
BE-1,BE-A,BE-ZNP,2,1
BE-2,BE-ZNP,BE-ZP,6,0
BE-3,BE-ZP,BE-ZNP,7,0
BE-4,BE-ZP,BE-L5-V1,2,1
BE-5,BE-ZP,BE-L5-V2,2,1
LF-1,LF-A,LF-ZNP,2,1
LF-2,LF-B,LF-ZNP,2,1
LF-3,LF-C,LF-ZNP,2,1
LF-4,LF-D,LF-ZNP,2,1
LF-5,LF-ZNP,LF-ZP,6,0
LF-6,LF-ZP,LF-ZNP,7,0
LF-7,LF-ZP,LF-L5-V1,2,1
LF-8,LF-ZP,LF-L5-V2,2,1
LVA-1,LVA-A,LVA-ZNP,2,1
LVA-2,LVA-ZNP,LVA-ZP,6,0
LVA-3,LVA-ZP,LVA-ZNP,7,0
LVA-4,LVA-ZP,LVA-L6-V1,2,1
LVA-5,LVA-ZP,LVA-L6-V2,2,1
EP-1,EP-A,EP-ZNP,2,1
EP-2,EP-B,EP-ZNP,2,1
EP-3,EP-ZNP,EP-ZP,6,0
EP-4,EP-ZP,EP-ZNP,7,0
EP-5,EP-ZP,EP-L2-V1,2,1
EP-6,EP-ZP,EP-L2-V2,2,1
PI-1,PI-A,PI-ZNP,2,1
